Ressources;XP
Raie de Farle;19
Relique de Gourlo le Terrible;3
Relique d'Incarnam;0,045
Relique du Corailleur Magistral;2
Relique du Kimbo;13
Relique du Rasboul Majeur;6
Relique du Tynril;10
Relique Familiale;0,272
Rembourrage de Meupette;4,935
Requin Marché-Libre;21
Requin Marteau-Faucille;0,21
Résidu de Solfataré;5,227
Restes d'Esprigné;16,875
Rhum de Qualité;1,103
Riz;0,15
Riz Cola;15
Ronce ephedryenne;0,25
Rondelle de Bois;1,064
Rondelles de Milirat Strubien;0,665
Rossignol;111,382
Rotule du Disciple Zoth;14,9
Roue de Tivelo;1,012
Rouflaquettes d'Halouine;7,292
Rouge à lèvres de Belladone;84,375
Ruban d'Uchiwang;3,722
Rubis;5,481
Rune Age;0,05
Rune Cha;0,05
Rune Cri;5
Rune de chasse;1,25
Rune de Signature;1,98
Rune Do;20
Rune Do Air;1,25
Rune Do Cri;1,25
Rune Do Eau;1,25
Rune Do Feu;1,25
Rune Do Neutre;1,25
Rune Do Pi;1,25
Rune Do Pou;1,25
Rune Do Ren;1,25
Rune Do Terre;1,25
Rune Fo;0,05
Rune Fui;0,8
Rune Ga Pa;500
Rune Ga Pme;405
Rune Ine;0,05
Rune Ini;0,1
Rune Invo;45
Rune Pa Age;0,225
Rune Pa Cha;0,225
Rune Pa Do Air;5,625
Rune Pa Do Cri;5,625
Rune Pa Do Eau;5,625
Rune Pa Do Feu;5,625
Rune Pa Do Neutre;5,625
Rune Pa Do Pi;5,625
Rune Pa Do Pou;5,625
Rune Pa Do Ren;5,625
Rune Pa Do Terre;5,625
Rune Pa Fo;0,225
Rune Pa Fui;3,6
Rune Pa Ine;0,225
Rune Pa Ini;0,45
Rune Pa Per Pi;0,9
Rune Pa Pod;0,45
Rune Pa Prospe;2,025
Rune Pa Pui;0,9
Rune Pa Ré Air;0,9
Rune Pa Ré Cri;0,9
Rune Pa Ré Eau;0,9
Rune Pa Ré Feu;0,9
Rune Pa Ré Neutre;0,9
Rune Pa Ré Pa;11,025
Rune Pa Ré Pme;11,025
Rune Pa Ré Pou;0,9
Rune Pa Ré Terre;0,9
Rune Pa Ret Pa;11,025
Rune Pa Ret Pme;11,025
Rune Pa Sa;2,025
Rune Pa So;22,5
Rune Pata Age;0,675
Rune Pa Tac;3,6
Rune Pata Cha;0,675
Rune Pata Cri;7,5
Rune Pata Do Air;5,625
Rune Pata Do Cri;5,625
Rune Pata Do Eau;5,625
Rune Pata Do Feu;5,625
Rune Pata Do Neutre;5,625
Rune Pata Do Pou;5,625
Rune Pata Do Terre;5,625
Rune Pata Fo;0,675
Rune Pata Fui;3,6
Rune Pata Ine;0,675
Rune Pata Ini;1,35
Rune Pata Pod;1,35
Rune Pata Pui;2,7
Rune Pata Ré Cri;0,9
Rune Pata Ré Pa;11,025
Rune Pata Ré Pme;11,025
Rune Pata Ré Pou;0,9
Rune Pata Ret Pa;11,025
Rune Pata Ret Pme;11,025
Rune Pata So;22,5
Rune Pata Tac;3,6
Rune Pata Vi;0,675
Rune Pa Vi;0,225
Rune Per Pi;0,2
Rune Po;130,05
Rune Pod;0,1
Rune Prospe;0,45
Rune Pui;0,2
Rune Ra Age;0,675
Rune Ra Cha;0,675
Rune Ra Do Pou;16,875
Rune Ra Fo;0,675
Rune Ra Ine;0,675
Rune Ra Ini;1,35
Rune Ra Per Pi;2,7
Rune Ra Pod;1,35
Rune Ra Pui;2,7
Rune Ra Ré Air;2,7
Rune Ra Ré Cri;2,7
Rune Ra Ré Eau;2,7
Rune Ra Ré Feu;2,7
Rune Ra Ré Neutre;2,7
Rune Ra Ré Pou;2,7
Rune Ra Ré Terre;2,7
Rune Ra Sa;6,075
Rune Rata Age;0,675
Rune Rata Cha;0,675
Rune Rata Do Air;5,625
Rune Rata Do Eau;5,625
Rune Rata Do Feu;5,625
Rune Rata Do Neutre;5,625
Rune Rata Do Terre;5,625
Rune Rata Fo;0,675
Rune Rata Fui;3,6
Rune Rata Ine;0,675
Rune Rata Ini;1,35
Rune Rata Pod;1,35
Rune Rata Pui;2,7
Rune Rata Ré Pa;11,025
Rune Rata Ré Pme;11,025
Rune Rata Ret Pa;11,025
Rune Rata Ret Pme;11,025
Rune Rata So;22,5
Rune Rata Tac;3,6
Rune Rata Vi;0,675
Rune Ra Vi;0,675
Rune Ré Air;0,2
Rune Ré Cri;0,2
Rune Ré Eau;0,2
Rune Ré Feu;0,2
Rune Ré Neutre;0,2
Rune Ré Pa;2,45
Rune Ré Per Air;1,8
Rune Ré Per Eau;1,8
Rune Ré Per Feu;1,8
Rune Ré Per Neutre;1,8
Rune Ré Per Terre;1,8
Rune Ré Pme;2,45
Rune Ré Pou;0,2
Rune Ré Terre;0,2
Rune Ret Pa;2,45
Rune Ret Pme;2,45
Rune Sa;0,45
Rune So;5
Rune Ta Age;0,675
Rune Tac;0,8
Rune Ta Cha;0,675
Rune Ta Cri;7,5
Rune Ta Do Air;5,625
Rune Ta Do Cri;5,625
Rune Ta Do Eau;5,625
Rune Ta Do Feu;5,625
Rune Ta Do Neutre;5,625
Rune Ta Do Pou;5,625
Rune Ta Do Terre;5,625
Rune Ta Fo;0,675
Rune Ta Fui;3,6
Rune Ta Ine;0,675
Rune Ta Ini;1,35
Rune Ta Pod;1,35
Rune Ta Pui;2,7
Rune Ta Ré Cri;0,9
Rune Ta Ré Pa;11,025
Rune Ta Ré Per Air;2,7
Rune Ta Ré Per Eau;2,7
Rune Ta Ré Per Feu;2,7
Rune Ta Ré Per Neutre;2,7
Rune Ta Ré Per Terre;2,7
Rune Ta Ré Pme;11,025
Rune Ta Ré Pou;0,9
Rune Ta Ret Pa;11,025
Rune Ta Ret Pme;11,025
Rune Ta So;22,5
Rune Ta Tac;3,6
Rune Ta Vi;0,675
Rune Vi;0,05
Rutile;14,4
Sable Fin;5,14
Sablier miniature;27,686
Sabot de Gliglicérin;25,971
Sabot du Minotot;179,258
Sac à Patates Clair;1,401
Sac à Patates Sombre;1,401
Sacoche de Kartouche;3,283
Sacrum magistral;1,563
Salace de poissons empoisonnée;52,168
Salikrone;10
Salopette Kwapa;3
Sang coagulé;16,875
Sang de Bouftou;0,487
Sang de Calciné;73,885
Sang de Harpo;16,875
Sang de Karkanik;16,875
Sang de Vampire;0,123
Sang de Ventrublion;16,875
Sang de Viandargh;12,2
Sang de Wabbit Garou;2,403
Sang du Kido;0,535
Sang du Toxoliath;48,382
Saphir;7,086
Sarbacane en Bambou;3
Sardine Brillante;0,11
Sardine Sombre;11
Sauge;0,05
Sauge Divine au Rhum;5
Scalp d'Anatak;620
Scalp de Bizarbwork;6,13
Scalp de Bwariok;20,25
Scalp de Bwork Archer;1,382
Scalp de Klime;506,25
Scalp de Milimulou;0,667
Scalp de Mulounoké;8,043
Scalp du Meulou;5,469
Scapula de Ben le Ripate;142,327
Scapula du Comte Harebourg;84,375
Scarabée Chrysonéfritin;101,25
Sceau du Roi Joueur;16,875
Sceau Royal Contrefait;0,245
Sceau Sylvestre;430
Sceptre brisé de Kabahal;84,375
Scie à glace;98,438
Scorie d'Obsidiantre;29,659
Seau de Pinces à Linge;106,425
Seigle;0,15
Seigle Résistant;15
Sel de Baleine;101,25
Sépale de Drosérâle;101,25
Sépale de Nerbe;3,319
Serre d'Ikargn;20,25
Serrure du Coffre des Forgerons;1,339
Serviette de Plage;0,072
Sève de Bambou;16
Sève de Bambou Sacré;26
Sève de Bambou Sombre;24
Sève d'Ébène;20
Sève de Bombu;11
Sève de Charme;22
Sève de Châtaignier;5
Sève de Chêne;10
Sève de Frêne;3
Sève de Kaliptus;21
Sève de Merisier;17
Sève de Noisetier;19
Sève de Noyer;7
Sève d'Érable;12
Sève de Tremble;27
Sève d'If;15
Sève d'Oliviolet;14
Sève d'Orme;25
Shampooing au Kaliptus de Saphira;14,85
Short de Capoei Rat;1,34
Silex;0,499
Silicate;0,15
Slip de Bwork Archer;0,229
Slip d'Elsoummo;3
Slip de Troollaraj;13,096
Slip en cuir de Cochon de Lait;1,804
Slip en cuir de Porkass;1,627
Slip en cuir du Chafer Lancier;0,272
Slip en Cuir Moulant du Garglyphe;1,064
Slip troué de Dramak;43,46
Socle en coquillage;640
Soie Baveuse;5,513
Souche de l'Abrakleur clair;5,913
Sourcil de Barbétoal;16,875
Sourcil de Moskito;0,364
Sourcils de Tronknyde;1,226
Souris verte;0,404
Spalière de Krâradia;20,25
Sphénoïde du Kimbo;29,659
Sporme de Dremoan;750
Sporme du Champ Champ;0,448
Stapes de Frimar;16,875
Steamopompe;640
Sternum de Chachachovage;5,826
Sternum de Mansordide;101,25
String de Pampactus;3
String en Cuir de la Mama Bwork;54,183
Substrat Astral;300
Substrat de Bocage;3,9
Substrat de Bosquet;16,275
Substrat de Buisson;2,85
Substrat de Fascine;7,65
Substrat de Forêt;27,525
Substrat de Forêt primaire;32,4
Substrat de Forêt vierge;42
Substrat de Fourré;19,725
Substrat de Futaie;5,4
Substrat de Sylve;45
Sueur de dragodinde;6,212
Sueur Froide de Fantôme;0,272
Symbole des Obscuranti;82,931
Talon d'achille de l'Abrakleur sombre;22,302
Tambour de Gobaladée;0,206
Tanche;0,25
Tanche Hantée;25
Tatouage de Mauvais Garçon;0,272
Teinture Magique Bleutée;2,648
Teinture Magique de Rougeur;6,898
Teinture Magique Orange;2,948
Teinture Magique Sombre;2,235
Teinture Magique Ténébreuse;6,353
Teinture Magique Verdâtre;5,247
Teinture Orange Sanguine;29,66
Tendon de Waccro;0,383
Tentacule de Démoloch;16,875
Tentacule de Grofond;16,875
Tentacule de N'Yalg;16,875
Tentacule de Tentaclaque;16,875
Téphra d'Atomystique;34,848
Terre Stérile;103,404
Testicules de Cocholou;8,043
Testicules du Tanukouï San;15
Testicules Magiques de Muloubard;8,043
Testicules Magiques du Meulou;32,731
Tête de lance de Fangshu;3,722
Tête de Marteau en Jade;15
Tête de mort;21,22
Tibia de Koalak Fossoyeur;1,778
Tibia du Guerrier Zoth;15,651
Tige de Bambouto;1,853
Tignasse de Kanihilan;5,645
Tissu de Graboule;6,13
Tissu de Rapiéçage;92,527
Tissu Invisible;0,682
Tissu Pourpre;1,012
Tissu Sombre;1,064
Toile d'Abrakne Sombre;6,208
Tonneau en Bombu;19,95
Topaze;30,768
Toque de Cabosseur;16,875
Touffe de Cheveux Blancs;1,627
Touffe de cheveux de Soissanth;7,737
Touffe de Poils de Rubise;2,304
Touffe rousse du Flib;2,967
Tourbe séchée de Tourbassingue;10,554
Trame Dimensionnelle;75
Tranche de Nodkoko;0,313
Tranche Magique de Krambwork;6,13
Trèfle à 5 feuilles;0,07
Trèfle Agare;7
Tresse du Koulosse;5,469
Tresse du Poolay;30,914
Trident Cassé;0,272
Trident de Tryde;18,08
Trompe de la Tromperelle;9,258
Tronc de Kokoko;0,313
Truite;0,05
Truite Ancestrale;5
Trukikol Mort;1,094
Tuf de Mofette;9,289
Tulipe en papier;10
Tuyau Rouillé de Rate Iboisée;1,919
Ulna de Solfataré;31,593
Venin d'Éperfide;10,613
Venin de Serpentin;2,38
Ventouse du Kralamoure géant;46,023
Ver d'Air;1,515
Ver d'Eau;1,515
Ver de Feu;1,515
Ver de Terre;1,515
Verrou de Servitude;75
Vertèbre de Trépavois;16,875
Vertèbre d'Obsidiantre;179,258
Viande Avariée;0,641
Viande de Brousse;4,929
Viande Exsudative;1,424
Viande Faisandée;0,083
Viande Fraîche;6,085
Viande Frelatée;0,133
Viande Gâtée;9,676
Viande Goûtue;17,003
Viande Hachée;0,053
Viande Intangible;0,043
Viande Ladre;0,446
Viande Macérée;3,786
Viande Maigre;8,372
Viande Minérale;0,208
Viande Noire;12,774
Viande Persillée;3,005
Viande Rassie;1,103
Viande Saignante;2,384
Viande Sanguinolente;0,834
Viande Séchée;1,846
Viande Tendre;0,31
Vieille Partition;0,272
Vieille Ventouse de Kralamoure;1,778
Vieux Bouquin de Rat Li;1,919
Viscères de Scarafeuille;1,297
Viscères de Scorbute;3,281
Viscères de Tanuki;6,719
Viscères du Scarabosse Doré;5,694
Volve d'Aminite;0,045
Volve de Fistulor;8,647
Volve de Fongeur;8,647
Volve de Mérulor;16,875
Vomer d'Apériglours;67,418
Weischelcreme Torte;18,253
Yokayu;45,37
